Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
08:33:39.710 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.743222,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.098250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.810 PM 04/14/2015,Teleop Enabled,0.000000,23.000000,12.300000,359.735764,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.100750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.911 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.350000,359.739889,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.011 PM 04/14/2015,Teleop Enabled,0.000000,27.000000,12.350000,359.741697,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.112 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.731163,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.213 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.740286,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.313 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.742853,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.413 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.350000,359.740511,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.513 PM 04/14/2015,Teleop Enabled,0.000000,25.000000,12.300000,359.744644,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.613 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.300000,359.741520,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.713 PM 04/14/2015,Teleop Enabled,0.000000,26.000000,12.300000,359.747891,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.813 PM 04/14/2015,Teleop Enabled,0.000000,23.000000,12.300000,359.746688,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:40.914 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.738679,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.015 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.300000,359.734653,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.115 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.400000,359.751852,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.215 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.400000,359.779640,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
